,text
0,true fruits Cannabischen mehr und bringt nen neuen Mix mit Hanf in die Kühlregale #cannabischennix
1,Cool - wird man davon high? 😂
2,is der ab 18?
3,Könnt ihr mir ne Flasche auf den PCT in den USA senden? 🙌😁
4,schweiz?
5,wo genau gibts den in linz?
6,Wo finde ich den in Hamburg?
7,Was genau bedeutet Hanfauszug?
8,"Ist das normal, dass die Specials in Thüringen nicht ankommen? Haha"
9,Finde ich denn auch in Haag In Oberbayern?
10,"Schauen wir mal, ob es die gut zu finden gibt, wie die Blauen (= gar nicht 😅)."
11,Kann man den nur in bestimmten Supermärkte kaufen ?
12,Nach was schmeckt er den?
13,"Gestern gefunden, probiert und für mega befunden, da werd ich noch welche von kaufen....."
14,💚💚
15,🤝🏼
16,Ist da CBD drinne (oder THC??)
17,@lisakrcevski !!!!
18,@bianca.wi_ @marie.loves.the.sea
19,@_misssandra1808_ @__mrs.__ndne_mnzl___
20,@julia_schmidt_zf Augen auf 😉 👀
21,"Wenn noch einmal jemand behauptet, dass es nur auf die inneren Werte ankommt… #dercharakterzählt #truefruits"
22,ich habs probiert und es schmeckt traumhaft
23,Scheiß auf die inneren Werte. Ich steh teilweise ewig am Kühlregal nur um zu lesen was auf euren Flaschen drauf steht. 😂😂😂😂😂
24,Wäre nicht ein knall-orangener Smoothie jetzt passender?
25,"Wenn der Cannabis legal wird, werden wir alle grün 😵‍💫"
26,Liebs 😂😂😂
27,🔥🔥🔥🔥
28,I crash and burn🔥❤
29,Jaman lass mal Organe entfernen. Denn auf die inneren Werte kommt es nicht an.
30,"Ohne Herz und Darm kann ich halt auch rumscheisen und herzlos sein, ist auch eine Form des Charakters"
31,@truefruitssmoothies gibt es die Sorte Vanille Smoothie garnicht mehr bzw. wird sie zurückkommen?
32,der vibe muss halt passen nh @___.silja.___
33,ein Grund auszuflippern #fckplasticbottles
34,"Definitiv nicht!
Aber wann kommt den endlich mal wieder ne online Limited oder die LE 20!
Gut Hanf ist ja unterwegs….
Aber wir sind so ungeduldig 🐬

https://youtu.be/wYB_Mnid7mA"
35,Es heißt denitiv! DE NI TIV!!!!
36,Erdbeerkäse 😂
37,DilfInitiv nein wäre besser
38,Ieeèe
39,Die Flasche will ich 🤩
40,Oops! I lost my mobile number! Could I have yours?🔥🌶
41,My body burns because of you🌭🌶
42,@deniselapurple 😂
43,@shavingforwomenonly Delfinitiv 😂
44,@steffischoen ob auch mal einen Dave-fin geben wird?
45,😂😂😂 @jasoxx1319 - weißte bescheid?!
46,Wie wäre es mal mit einem Power Energy Shot? @redbullgermany würde bestimmt mit dabei sein ⚡️⚡️
47,@truefruitssmoothies Das klingt ja flossitastisch 🐬
48,YOU REALLY HAVE TO SEE IT 🎶 #truefruitsupcycling
49,👏👏
